strategy,symbol,timeframe,mode,rr_cap,trade_count,resolved_count,wins,losses,win_rate,tp1_count,tp2_count,sl_count,net_r,profit_factor,expectancy,average_r,average_winning_r,average_losing_r,max_drawdown_r,max_consecutive_wins,max_consecutive_losses,outlier_dependency
Classic,EURUSD,M30,Cap_2.0,,177,177,29,148,0.1638418079096045,28,1,148,-93.26113514420507,0.3698571949715873,-0.5268990686113281,-0.5268990686113281,1.8875470639929282,-1.0,93.77002009270046,2,20,N/A (baseline non-positive)
Classic,EURUSD,H1,Baseline,,111,111,23,88,0.2072072072072072,22,1,88,-14.746536292235284,0.8324257239518719,-0.13285167830842598,-0.13285167830842598,3.1849332046854224,-1.0,21.280806575765773,3,13,N/A (baseline non-positive)
Classic,EURUSD,H1,Cap_5.0,,111,111,23,88,0.2072072072072072,22,1,88,-22.92466944034796,0.7394923927233187,-0.20652855351664828,-0.20652855351664828,2.829362198245741,-1.0,24.51021809494649,3,13,N/A (baseline non-positive)
Classic,EURUSD,H1,Cap_4.0,,111,111,23,88,0.2072072072072072,22,1,88,-27.36729087514098,0.6890080582370343,-0.24655217004631513,-0.24655217004631513,2.636204744559088,-1.0,28.952839529739514,3,13,N/A (baseline non-positive)
Classic,EURUSD,H1,Cap_3.0,,111,111,23,88,0.2072072072072072,22,1,88,-33.74829639645496,0.6164966318584665,-0.304038706274369,-0.304038706274369,2.3587697218932626,-1.0,35.333845051053494,3,13,N/A (baseline non-positive)
Classic,EURUSD,H1,Cap_2.5,,111,111,23,88,0.2072072072072072,22,1,88,-37.81903286362946,0.5702382629133015,-0.3407120077804456,-0.3407120077804456,2.181781179842197,-1.0,39.404581518228,3,13,N/A (baseline non-positive)
Classic,EURUSD,H1,Cap_2.0,,111,111,23,88,0.2072072072072072,22,1,88,-44.19857560489101,0.4977434590353294,-0.39818536580982894,-0.39818536580982894,1.9044097563090863,-1.0,45.78412425948955,3,13,N/A (baseline non-positive)
Classic,EURUSD,H4,Baseline,,53,53,6,47,0.11320754716981132,6,0,47,-32.284770327047006,0.31308999304155305,-0.6091466099442832,-0.6091466099442832,2.452538278825499,-1.0,32.284770327047006,2,16,N/A (baseline non-positive)
Classic,EURUSD,H4,Cap_5.0,,53,53,6,47,0.11320754716981132,6,0,47,-32.284770327047006,0.31308999304155305,-0.6091466099442832,-0.6091466099442832,2.452538278825499,-1.0,32.284770327047006,2,16,N/A (baseline non-positive)
Classic,EURUSD,H4,Cap_4.0,,53,53,6,47,0.11320754716981132,6,0,47,-33.11838485936375,0.2953535136305585,-0.6248751860257311,-0.6248751860257311,2.3136025234393744,-1.0,33.11838485936375,2,16,N/A (baseline non-positive)
Classic,EURUSD,H4,Cap_3.0,,53,53,6,47,0.11320754716981132,6,0,47,-34.11838485936375,0.2740769178858776,-0.643743110554033,-0.643743110554033,2.146935856772708,-1.0,34.11838485936375,2,16,N/A (baseline non-positive)
Classic,EURUSD,H4,Cap_2.5,,53,53,6,47,0.11320754716981132,6,0,47,-34.61838485936375,0.26343862001353724,-0.6531770728181839,-0.6531770728181839,2.0636025234393744,-1.0,34.61838485936375,2,16,N/A (baseline non-positive)
Classic,EURUSD,H4,Cap_2.0,,53,53,6,47,0.11320754716981132,6,0,47,-35.607150103205086,0.24240106163393446,-0.6718330208151903,-0.6718330208151903,1.8988083161324865,-1.0,35.607150103205086,2,16,N/A (baseline non-positive)
Classic,XAUUSD,M1,Baseline,,983,983,171,812,0.17395727365208546,154,17,812,-268.4536050448402,0.6693921120137439,-0.27309624114429315,-0.27309624114429315,3.1786338886266656,-1.0,283.8775988151952,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M1,Cap_5.0,,983,983,171,812,0.17395727365208546,154,17,812,-323.2483805459582,0.6019108613966035,-0.3288386373814427,-0.3288386373814427,2.858196604994397,-1.0,333.1029706553982,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M1,Cap_4.0,,983,983,171,812,0.17395727365208546,154,17,812,-355.98123427958853,0.5615994651729207,-0.36213757302094457,-0.36213757302094457,2.666776407721704,-1.0,363.8358243890286,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M1,Cap_3.0,,983,983,171,812,0.17395727365208546,154,17,812,-404.2875479940756,0.5021089310417788,-0.4112792960265266,-0.4112792960265266,2.3842833450638845,-1.0,410.14213810351566,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M1,Cap_2.5,,983,983,171,812,0.17395727365208546,154,17,812,-440.0142899134518,0.4581104804021529,-0.44762389614796727,-0.44762389614796727,2.1753550297458952,-1.0,444.1225114904704,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M1,Cap_2.0,,983,983,171,812,0.17395727365208546,154,17,812,-487.62859347997465,0.39947217551727243,-0.49606164138349407,-0.49606164138349407,1.8969088100586269,-1.0,489.3676578765202,5,22,N/A (baseline non-positive)
Classic,XAUUSD,M5,Baseline,,911,911,176,735,0.19319429198682767,161,15,735,220.14397142261018,1.2995156073777012,0.24165090167136133,0.24165090167136133,5.426954383083014,-1.0,192.9094353558826,4,44,High R-Multiple Sensitivity
Classic,XAUUSD,M5,Cap_5.0,,911,911,176,735,0.19319429198682767,161,15,735,-225.2094904622536,0.6935925299833287,-0.24721129578732556,-0.24721129578732556,2.8965369860099233,-1.0,229.521899988492,4,44,High R-Multiple Sensitivity
Classic,XAUUSD,M5,Cap_4.0,,911,911,176,735,0.19319429198682767,161,15,735,-259.4267225327771,0.6470384727445211,-0.2847713748987674,-0.2847713748987674,2.7021208947001303,-1.0,262.7391320590155,4,44,High R-Multiple Sensitivity
Classic,XAUUSD,M5,Cap_3.0,,911,911,176,735,0.19319429198682767,161,15,735,-311.71066316078833,0.5759038596451861,-0.34216318678461943,-0.34216318678461943,2.4050530502227927,-1.0,314.02307268702674,4,44,High R-Multiple Sensitivity
