strategy,symbol,timeframe,trade_count,min_sl_distance,median_sl_distance,p1_sl_distance,p5_sl_distance,p99_sl_distance,tiny_sl_count,tiny_sl_pct,winners_gt10r,winners_gt20r,winners_gt50r,net_r,profit_factor
Classic,EURUSD,H1,111,1.3854578635452697e-06,0.00034836767880386255,2.114400346142631e-06,3.832406785786446e-05,0.0014479406649174908,2,0.018018018018018018,1,0,0,-14.746536292235284,0.8324257239518719
Classic,EURUSD,H4,53,1.0701324689943448e-05,0.0005022459515298117,4.017212692430938e-05,6.620312811222995e-05,0.0026197951634734373,0,0.0,0,0,0,-32.284770327047006,0.31308999304155305
Classic,EURUSD,M1,1112,5.948401682331905e-08,2.805846688169744e-05,6.815345729993538e-07,2.4011932930889657e-06,0.00020902582072035436,179,0.16097122302158273,15,6,3,913.9230278931313,1.9933945955360124
Classic,EURUSD,M15,242,1.1132199695396139e-06,0.0001562997517382536,2.772208714585389e-06,9.782750739928403e-06,0.0007465253669574068,7,0.028925619834710745,0,0,0,-50.05365103561181,0.7459205531187217
Classic,EURUSD,M30,177,7.239563615257794e-08,0.000244374080650811,6.9846634449532985e-06,2.709501512732082e-05,0.0012138027849493138,3,0.01694915254237288,1,0,0,-44.3507522593962,0.7003327550040799
Classic,EURUSD,M5,939,1.4155374494784212e-07,8.005370810959533e-05,7.278868958682239e-07,6.071252135253502e-06,0.0004822761778202622,57,0.06070287539936102,10,6,4,1998.2864672161252,3.5391187639340855
Classic,GBPUSD,H1,106,4.6922690399853195e-08,0.0003968399117934007,1.640467720331884e-06,2.7041383114490003e-05,0.0018823372618601564,2,0.018867924528301886,0,0,0,-36.6043104287799,0.584041926945683
Classic,GBPUSD,H4,54,4.179059962239329e-05,0.0007240291525901776,4.5697537403688315e-05,0.00011092444211935337,0.0036380456458939836,0,0.0,0,0,0,-15.53026672423552,0.654882961683655
Classic,GBPUSD,M1,1111,8.685107966144301e-09,3.724922918291185e-05,5.42388629565238e-07,2.7650344707197405e-06,0.00028015824751626006,175,0.15751575157515751,23,8,1,640.8153761937153,1.724904271712347
Classic,GBPUSD,M15,255,2.8764048920493224e-09,0.0001821371015839901,1.8852792431633958e-06,1.5820709288183465e-05,0.0009541707762548146,9,0.03529411764705882,4,2,2,55.44460715880149,1.261531165843403
Classic,GBPUSD,M30,141,1.8452271832725131e-06,0.00028770513894826877,4.2293482864774745e-06,1.5778975022806563e-05,0.0012498934859479505,2,0.014184397163120567,2,2,0,54.14380967031771,1.4877820691019612
Classic,GBPUSD,M5,935,4.2347472928305763e-07,0.00010864843820423964,1.648494402317624e-06,9.037049254700946e-06,0.0007508387450632092,47,0.05026737967914439,11,7,2,23.024208653123445,1.0301758960067153
Classic,NZDUSD,H1,74,5.656037542212111e-06,0.00025982227639315125,1.1768000332867956e-05,2.4864158565396366e-05,0.0013287797197910622,1,0.013513513513513514,1,0,0,11.680416123969305,1.2085788593565947
Classic,NZDUSD,H4,44,2.0416386975474765e-06,0.0005590783875897287,2.0416386975474765e-06,8.702704710927822e-05,0.0015665978903847133,1,0.022727272727272728,0,0,0,-15.778182672974154,0.5847846665006802
Classic,NZDUSD,M1,1087,5.258571733612882e-08,2.564597636800503e-05,4.292594099064573e-07,2.489456142562574e-06,0.00015287639508154705,172,0.15823367065317387,20,7,1,189.30786443660378,1.2153673088015957
Classic,NZDUSD,M15,322,4.6056854530185376e-07,0.0001379070976630925,1.198233698262996e-06,7.4559270641927355e-06,0.0006788719418274747,13,0.040372670807453416,2,1,0,-93.77073122984376,0.6602509738049139
Classic,NZDUSD,M30,162,6.999924757611353e-07,0.00020914927269022332,6.175509876138463e-06,1.7981197173888575e-05,0.0012467555680547582,3,0.018518518518518517,1,1,0,21.47682904431519,1.1718146323545215
Classic,NZDUSD,M5,922,2.860259196157955e-08,6.957770246263095e-05,1.3412686894476167e-06,5.3955193676236135e-06,0.00033643664764526626,53,0.057483731019522775,11,5,2,-29.88968830074502,0.9613828316527837
Classic,XAUUSD,H1,63,0.10280225516635255,6.2270491968220085,0.11190030649777327,0.4608144045150766,21.88872477800669,2,0.031746031746031744,1,0,0,-6.286601581196784,0.881384875826476
Classic,XAUUSD,H4,50,0.12706019506458688,8.930797696941227,0.12706019506458688,1.234755774778023,33.43021321756987,1,0.02,0,0,0,-22.050667438750693,0.49884846730112054
Classic,XAUUSD,M1,983,0.0028837579548053327,0.5695336231619876,0.016313822326083027,0.0512474600054702,4.493717961185212,134,0.1363173957273652,4,0,0,-268.4536050448402,0.6693921120137439
Classic,XAUUSD,M15,284,0.029170334029004152,2.3928370684520814,0.1086505884163671,0.28464283741323015,12.772531683580382,4,0.014084507042253521,2,0,0,-51.64751715562319,0.7734758019490211
Classic,XAUUSD,M30,131,0.0012931704941365751,2.9857371051639348,0.01922142393050308,0.28244960957044896,17.67201060783009,4,0.030534351145038167,0,0,0,-76.57883147427586,0.33409711761499244
Classic,XAUUSD,M5,911,0.0012380699108689441,1.303991100719486,0.035361386797376326,0.12171191250035918,11.758954539975093,50,0.054884742041712405,7,1,1,220.14397142261018,1.2995156073777012
ICT,EURUSD,H1,4,0.0006182897703665979,0.0006299216958538523,0.0006182897703665979,0.0006182897703665979,0.004450128491449323,0,0.0,0,0,0,-1.4831898645241848,0.5056033784919384
ICT,EURUSD,H4,1,0.001912372507898219,0.001912372507898219,0.001912372507898219,0.001912372507898219,0.001912372507898219,0,0.0,0,0,0,4.376762354317143,inf
ICT,EURUSD,M1,82,8.062506767547717e-06,0.00014175561103291212,3.5334772525486e-05,6.832694456804234e-05,0.00048008957410616837,0,0.0,0,0,0,30.31999542763127,1.6451062856942826
ICT,EURUSD,M15,14,0.00023003009574629196,0.0003732415505881548,0.00023003009574629196,0.0002720317407143291,0.0005987555874635841,0,0.0,0,0,0,-1.7033041128054252,0.8296695887194575
ICT,EURUSD,M30,33,0.000371158839531871,0.0008153076156274253,0.000371158839531871,0.00041343050282138805,0.0023982652001450777,0,0.0,0,0,0,-27.297814970204964,0.11942532354177537
ICT,EURUSD,M5,136,6.386729782148493e-05,0.0010100008755743461,6.415879163501614e-05,0.00017594063776371627,0.0010106645444181162,0,0.0,0,0,0,-119.6855647020098,0.07934180998454
ICT,GBPUSD,H1,4,0.000589467706672675,0.0011801269957285587,0.000589467706672675,0.000589467706672675,0.0028362867501934286,0,0.0,0,0,0,-1.397262370962104,0.5342458763459653
ICT,GBPUSD,H4,4,0.0012400431846992799,0.002146896227789852,0.0012400431846992799,0.0012400431846992799,0.008010637830461631,0,0.0,0,0,0,-4.0,0.0
