strategy,symbol,timeframe,trade_count,wins,losses,unresolved,win_rate,net_r,profit_factor,mean_winning_r,median_winning_r,p90_winning_r,p95_winning_r,p99_winning_r,max_winning_r,gross_share_gt5r,gross_share_gt10r,gross_share_gt20r,gross_share_gt50r
Classic,EURUSD,H1,111,23,88,0,0.2072072072072072,-14.746536292235277,0.8324257239518719,3.1849332046854224,2.357565613391489,5.20372941991998,5.5061889272152325,12.46821480097746,12.46821480097746,0.3164100641108092,0.17020648812891362,0.0,0.0
Classic,EURUSD,H4,53,6,47,0,0.11320754716981132,-32.284770327047006,0.31308999304155305,2.452538278825499,2.100335308483409,2.28809462687451,4.833614532316746,4.833614532316746,4.833614532316746,0.0,0.0,0.0,0.0
Classic,EURUSD,M1,1112,192,920,0,0.17266187050359713,913.9230278931313,1.9933945955360124,9.551682436943393,2.7118470400422376,8.960263477153989,13.121948648868749,71.5677976572094,773.3169758293369,0.7992827827593746,0.6822455885139221,0.6116205757904317,0.5690385347444817
Classic,EURUSD,M15,242,45,197,0,0.1859504132231405,-50.05365103561181,0.7459205531187217,3.2654744214308487,2.291977188227243,6.412892166971141,7.058442477490702,8.571528503855294,8.571528503855294,0.3597221821433318,0.0,0.0,0.0
Classic,EURUSD,M30,177,29,148,0,0.1638418079096045,-44.350752259396174,0.7003327550040799,3.5741119910553034,2.6257892907984175,4.848405845880025,6.961025374287788,18.836947253837426,18.836947253837426,0.3160194236728549,0.18173742370981233,0.0,0.0
Classic,EURUSD,M5,939,152,787,0,0.16187433439829607,1998.2864672161254,3.5391187639340855,18.324253073790295,2.4863341576661626,8.551718617778386,14.359731087630275,114.62712549075424,1894.8065346941528,0.8908052729812277,0.8410770937404047,0.8193882513208732,0.7999662094250176
Classic,GBPUSD,H1,106,17,88,1,0.1619047619047619,-36.6043104287799,0.584041926945683,3.023275857130594,2.9471150863725506,4.784860004482611,4.984453636296473,5.260672834089663,5.260672834089663,0.10235630415659344,0.0,0.0,0.0
Classic,GBPUSD,H4,54,9,45,0,0.16666666666666666,-15.530266724235524,0.654882961683655,3.274414808418275,3.4577408803408254,4.05511748075234,7.181848017993733,7.181848017993733,7.181848017993733,0.24370251168509866,0.0,0.0,0.0
Classic,GBPUSD,M1,1111,227,884,0,0.20432043204320433,640.8153761937149,1.724904271712347,6.717248353276278,2.4959379039676595,9.988254648430273,16.100523430476105,39.01716125984575,497.1870232915053,0.7167284080227312,0.6018662208582495,0.4616282599405918,0.3260637524082403
Classic,GBPUSD,M15,255,43,212,0,0.16862745098039217,55.44460715880143,1.261531165843403,6.219642026948872,2.464629268275048,7.164687243706582,11.972358200417391,82.40746503344175,82.40746503344175,0.6516146812376767,0.5861343375252344,0.5022216562218574,0.5022216562218574
Classic,GBPUSD,M30,141,30,111,0,0.2127659574468085,54.143809670317694,1.4877820691019612,5.504793655677256,2.6372540987080946,6.0043704580561,32.95510986058537,48.88965271009285,48.88965271009285,0.6192859925515921,0.49559691479848833,0.49559691479848833,0.0
Classic,GBPUSD,M5,935,172,763,0,0.1839572192513369,23.02420865312388,1.0301758960067153,4.569908189843741,2.568759365067137,7.200691659351683,11.099796864328745,29.293612525316124,58.551761530401166,0.5459920884988372,0.370862410203434,0.3049471841185816,0.14308920659791463
Classic,NZDUSD,H1,74,18,56,0,0.24324324324324326,11.680416123969309,1.2085788593565947,3.760023117998295,2.2005812986724753,6.272015677338002,9.052310054933363,15.887650411058514,15.887650411058514,0.5354240814499508,0.23474516442034454,0.0,0.0
Classic,NZDUSD,H4,44,6,38,0,0.13636363636363635,-15.778182672974154,0.5847846665006802,3.7036362211709744,2.314693984817176,6.170529979801045,8.142193330953033,8.142193330953033,8.142193330953033,0.6440842843824098,0.0,0.0,0.0
Classic,NZDUSD,M1,1087,208,879,0,0.19135234590616376,189.30786443660259,1.2153673088015957,5.136095502099056,2.68989718855072,9.555763616782604,16.239374256523295,37.66428758898383,104.1659183221783,0.6209180787891427,0.4466609495212255,0.26534485073681807,0.09750552419373291
Classic,NZDUSD,M15,322,46,276,0,0.14285714285714285,-93.77073122984376,0.6602509738049139,3.961505842829484,2.3465677435874146,5.56054599818444,9.948128019786981,33.547040655446416,33.547040655446416,0.4694255424876163,0.2801110494908549,0.18409249448154746,0.0
Classic,NZDUSD,M30,162,37,125,0,0.22839506172839505,21.476829044315195,1.1718146323545215,3.958833217413924,2.8596155770680185,6.054812858781627,6.86012019309734,34.78021211700171,34.78021211700171,0.46015233380313086,0.23744514640250222,0.23744514640250222,0.0
